time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-31T00:32:35.100Z,19.1693,-65.2151,35,2.4,Md,3,331.2,0.85878941,0.2,pr,pr17090000,2017-03-31T04:17:29.538Z,"96km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.9,16.7,0,2,reviewed,pr,pr
2017-03-31T00:22:01.030Z,32.1763333,-117.1718333,13.85,2.07,ml,13,292,0.4517,0.1,ci,ci37844968,2017-03-31T00:38:47.633Z,"22km SW of Rosarito, B.C., MX",earthquake,0.48,0.95,0.189,16,reviewed,ci,ci
2017-03-30T23:49:09.700Z,19.19,-65.1936,32,3.3,Md,7,302.4,0.88034898,0.17,pr,pr17089015,2017-03-31T01:11:38.040Z,"89km N of Culebra, Puerto Rico",earthquake,2.2,12.9,0,6,reviewed,pr,pr
2017-03-30T23:44:17.490Z,39.288,-122.756,9.29,1.54,md,12,67,0.1207,0.08,nc,nc72782826,2017-03-31T01:39:03.701Z,"19km NNE of Nice, California",earthquake,0.37,1.17,0.127,13,reviewed,nc,nc
2017-03-30T23:39:47.670Z,64.9824,-147.3363,4.3,1.8,ml,,,,0.55,ak,ak15649508,2017-03-30T23:52:51.454Z,"22km NNE of Badger, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-03-30T23:25:23.060Z,47.6321667,-122.8191667,18.85,0.89,ml,4,215,0.06819,0.05,uw,uw61250082,2017-03-31T00:07:07.430Z,"1km SE of Seabeck, Washington",earthquake,1.24,0.74,0.225,2,reviewed,uw,uw
2017-03-30T23:23:09.100Z,38.7835007,-122.7838364,-0.12,0.77,md,6,176,0.01018,0.02,nc,nc72782816,2017-03-30T23:29:02.328Z,"2km WNW of The Geysers, California",earthquake,0.55,0.68,0.21,2,automatic,nc,nc
2017-03-30T23:20:04.800Z,19.1462,-65.2307,29,3.2,Md,10,298.8,0.83543321,0.27,pr,pr17089011,2017-03-30T23:59:29.040Z,"94km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.4,17.8,0,9,reviewed,pr,pr
2017-03-30T23:14:41.900Z,19.2045,-65.1139,21,3.1,Md,5,306,0.90640012,0.15,pr,pr17089013,2017-03-31T00:40:04.807Z,"97km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.3,15.2,0,5,reviewed,pr,pr
2017-03-30T23:09:09.543Z,63.5863,-147.6377,2.8,1.7,ml,,,,0.82,ak,ak15649333,2017-03-30T23:15:22.450Z,"68km ENE of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
