time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-30T12:13:06.050Z,33.6978333,-116.7291667,16.32,0.59,ml,24,56,0.01825,0.15,ci,ci37844600,2017-03-30T13:20:22.880Z,"5km SSW of Idyllwild, CA",earthquake,0.39,0.51,0.23,16,reviewed,ci,ci
2017-03-30T12:00:54.990Z,34.4676667,-116.7886667,1.6,1.29,ml,29,59,0.1236,0.15,ci,ci37844584,2017-03-30T13:20:13.707Z,"17km E of Lucerne Valley, CA",earthquake,0.26,0.58,0.093,28,reviewed,ci,ci
2017-03-30T11:54:30.020Z,38.8199997,-122.8024979,2.27,1,md,18,81,0.00682,0.04,nc,nc72782626,2017-03-30T12:36:02.563Z,"6km W of Cobb, California",earthquake,0.25,0.46,0.01,4,automatic,nc,nc
2017-03-30T11:49:13.960Z,33.241,-116.0553333,4.89,1.92,ml,76,27,0.07007,0.21,ci,ci37844576,2017-03-30T18:23:28.890Z,"11km SW of Salton City, CA",earthquake,0.15,0.61,0.144,79,reviewed,ci,ci
2017-03-30T11:46:15.810Z,33.3143333,-116.3278333,10.64,0.94,ml,36,100,0.03516,0.21,ci,ci37844568,2017-03-30T21:17:25.075Z,"8km NE of Borrego Springs, CA",earthquake,0.31,0.51,0.151,24,reviewed,ci,ci
2017-03-30T11:45:31.545Z,60.09,-153.33,156.2,3.5,ml,,,,0.57,ak,ak15647873,2017-03-30T12:07:20.748Z,"54km SW of Redoubt Volcano, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2017-03-30T11:40:28.616Z,57.9637,-156.2409,123.6,1.7,ml,,,,0.22,ak,ak15647872,2017-03-30T11:45:09.609Z,"84km SSE of King Salmon, Alaska",earthquake,,1.3,,,automatic,ak,ak
2017-03-30T11:01:15.200Z,18.9843,-66.9694,22,2.9,Md,8,252,0.53000602,0.21,pr,pr17089008,2017-03-30T15:36:56.813Z,"53km N of Isabela, Puerto Rico",earthquake,1.2,14.5,0,7,reviewed,pr,pr
2017-03-30T10:50:57.750Z,33.6905,-116.8055,15.33,1.67,ml,58,27,0.0699,0.17,ci,ci37844560,2017-03-30T13:21:30.340Z,"10km SW of Idyllwild, CA",earthquake,0.19,0.36,0.276,26,reviewed,ci,ci
2017-03-30T10:39:16.150Z,37.4283333,-119.043,3.9,1.51,md,21,145,0.1207,0.06,nc,nc72782611,2017-03-30T18:19:02.419Z,"25km SSW of Mammoth Lakes, California",earthquake,0.26,1.84,0.233,17,reviewed,nc,nc
2017-03-30T10:34:53.100Z,17.1534,95.9052,17.73,4.2,mb,,166,0.372,0.48,us,us10008ddy,2017-03-31T03:13:08.479Z,"30km ENE of Nyaungdon, Burma",earthquake,9.7,10.5,0.235,5,reviewed,us,us
2017-03-30T10:33:19.857Z,39.5223,-120.3025,0,0,ml,3,168.09,0.171,0.3496,nn,nn00583711,2017-03-31T02:36:49.896Z,"23km NNW of Truckee, California",earthquake,,0,0,1,reviewed,nn,nn
2017-03-30T09:42:22.695Z,61.785,-151.7004,94.3,1.6,ml,,,,0.38,ak,ak15647683,2017-03-30T09:50:12.686Z,"87km W of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-03-30T09:31:19.400Z,19.1954,-65.1826,30,3.3,Md,11,306,0.88843382,0.17,pr,pr17089006,2017-03-30T09:55:41.429Z,"98km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.5,12.2,0,8,reviewed,pr,pr
2017-03-30T09:18:11.040Z,34.216,-117.46,8.41,0.66,ml,23,63,0.02582,0.14,ci,ci37844544,2017-03-30T17:29:43.942Z,"5km W of Devore, CA",earthquake,0.22,0.55,0.092,10,reviewed,ci,ci
2017-03-30T09:11:25.628Z,60.0679,-152.0954,73.6,1.3,ml,,,,0.27,ak,ak15647681,2017-03-30T16:44:23.457Z,"35km NNW of Anchor Point, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2017-03-30T09:09:58.310Z,34.2281667,-117.4598333,9.11,2.97,ml,178,16,0.0196,0.23,ci,ci37844488,2017-03-31T04:59:05.419Z,"5km SE of Lytle Creek, CA",earthquake,0.12,0.24,0.141,253,reviewed,ci,ci
2017-03-30T09:09:51.330Z,34.2231667,-117.4621667,9.2,1.14,ml,38,37,0.01995,0.13,ci,ci37844480,2017-03-30T14:31:47.881Z,"5km SE of Lytle Creek, CA",earthquake,0.17,0.33,0.107,10,reviewed,ci,ci
2017-03-30T09:06:54.289Z,63.1759,-150.5948,7.5,0.6,ml,,,,0.31,ak,ak15647679,2017-03-30T09:12:07.162Z,"85km WSW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-03-30T09:06:21.470Z,-37.0961,-74.0363,10,4.7,mb,,135,0.761,1.18,us,us10008d94,2017-03-30T10:11:53.040Z,"65km WNW of Arauco, Chile",earthquake,4.5,1.9,0.093,36,reviewed,us,us
2017-03-30T09:03:59.850Z,-5.5105,151.8624,54.97,4.7,mb,,128,1.344,0.8,us,us10008d98,2017-03-30T10:07:18.040Z,"135km SSW of Kokopo, Papua New Guinea",earthquake,7.6,7.4,0.1,30,reviewed,us,us
2017-03-30T08:51:08.750Z,-4.3911,102.362,59.04,4.9,mb,,98,0.592,0.59,us,us10008d92,2017-03-30T09:14:14.047Z,"66km S of Bengkulu, Indonesia",earthquake,3.4,7.3,0.085,43,reviewed,us,us
2017-03-30T08:42:24.400Z,18.139,-65.6405,12,2.2,Md,3,154.8,0.09252647,0.09,pr,pr17089007,2017-03-30T11:19:03.835Z,"10km SSE of Daguao, Puerto Rico",earthquake,4.4,2.9,0,3,reviewed,pr,pr
2017-03-30T08:32:54.554Z,38.0513,-118.8227,13.1,0.9,ml,9,134.37,0.035,0.0509,nn,nn00583672,2017-03-31T02:36:17.169Z,"42km ESE of Bridgeport, California",earthquake,,3.3,0.44,2,reviewed,nn,nn
2017-03-30T08:32:49.680Z,37.374,-97.3752,5,2.9,mb_lg,,168,0.202,0.2,us,us10008d8w,2017-03-30T22:52:50.465Z,"8km WSW of Belle Plaine, Kansas",earthquake,1.8,2,0.067,58,reviewed,us,us
2017-03-30T08:31:05.510Z,33.4483333,-116.5616667,9.34,0.65,ml,20,114,0.05733,0.11,ci,ci37844464,2017-03-30T13:21:03.593Z,"16km SE of Anza, CA",earthquake,0.28,0.39,0.184,20,reviewed,ci,ci
2017-03-30T08:17:33.810Z,33.237,-116.0483333,7.22,1.77,ml,67,30,0.06774,0.22,ci,ci37844456,2017-03-30T17:09:54.400Z,"11km SW of Salton City, CA",earthquake,0.18,0.93,0.152,69,reviewed,ci,ci
2017-03-30T08:09:47.300Z,33.494,-116.782,5.17,0.53,ml,20,43,0.08041,0.13,ci,ci37844440,2017-03-30T13:21:20.072Z,"10km NE of Aguanga, CA",earthquake,0.23,1.08,0.148,15,reviewed,ci,ci
2017-03-30T07:57:22.780Z,-5.5774,151.8071,35,5.3,mb,,45,1.422,1.05,us,us10008d8n,2017-03-30T08:16:25.040Z,"144km SSW of Kokopo, Papua New Guinea",earthquake,8.7,2,0.038,227,reviewed,us,us
2017-03-30T07:37:09.377Z,62.9544,-150.7839,116.1,2.8,ml,,,,0.42,ak,ak15647489,2017-03-30T07:51:24.518Z,"78km NNW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-03-30T07:32:33.758Z,60.1814,-152.483,89.3,1.6,ml,,,,0.31,ak,ak15647488,2017-03-30T16:40:11.249Z,"36km SSE of Redoubt Volcano, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-03-30T07:21:37.760Z,46.1951667,-122.1703333,5,0.45,ml,6,210,0.02315,0.19,uw,uw61249687,2017-03-30T18:07:42.890Z,"38km NE of Amboy, Washington",earthquake,1.67,1.05,0.027,4,reviewed,uw,uw
2017-03-30T07:20:08.730Z,64.7583,-147.8034,10.4,0.1,ml,,,,0.31,ak,ak15647487,2017-03-30T07:25:13.179Z,"9km SSW of Fairbanks, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-03-30T07:17:16.880Z,33.449,-116.5783333,9.88,0.81,ml,29,77,0.04975,0.17,ci,ci37844432,2017-03-30T13:22:38.380Z,"15km SE of Anza, CA",earthquake,0.26,0.58,0.236,22,reviewed,ci,ci
2017-03-30T07:14:07.790Z,35.6708,-97.4072,7.7,2.4,mb_lg,,38,0.09,0.26,us,us10008d8g,2017-03-31T03:32:00.315Z,"6km ENE of Edmond, Oklahoma",earthquake,1.1,2.6,0.147,12,reviewed,us,us
2017-03-30T07:07:50.870Z,37.6446667,-118.9496667,4.35,0.37,md,8,114,0.02865,0.02,nc,nc72782576,2017-03-30T17:26:02.310Z,"2km ESE of Mammoth Lakes, California",earthquake,0.96,0.98,0.223,5,reviewed,nc,nc
2017-03-30T06:55:09.880Z,33.8736667,-117.0303333,8.06,0.68,ml,10,195,0.1105,0.08,ci,ci37844424,2017-03-30T19:19:17.702Z,"8km SW of Beaumont, CA",earthquake,0.33,0.88,0.131,7,reviewed,ci,ci
2017-03-30T06:53:32.170Z,38.8598333,-122.9425,5.7,1.01,md,26,182,0.02699,0.06,nc,nc72782571,2017-03-30T17:09:05.295Z,"8km NE of Cloverdale, California",earthquake,0.43,0.41,0.096,7,reviewed,nc,nc
2017-03-30T06:48:24.350Z,-37.0864,-74.0098,16.46,4.7,mwr,,133,0.738,0.84,us,us10008d88,2017-03-30T07:12:13.995Z,"63km WNW of Arauco, Chile",earthquake,6,4.9,0.046,45,reviewed,us,us
2017-03-30T06:47:39.490Z,38.8383331,-122.7679977,2.58,0.4,md,7,188,0.007823,0.02,nc,nc72782566,2017-03-30T06:55:01.499Z,"4km WNW of Cobb, California",earthquake,1.6,1.61,0.12,2,automatic,nc,nc
2017-03-30T06:47:04.290Z,33.8621667,-116.5371667,12.59,1.12,ml,35,40,0.03966,0.16,ci,ci37844416,2017-03-30T13:21:40.503Z,"4km N of Palm Springs, CA",earthquake,0.23,0.53,0.205,26,reviewed,ci,ci
2017-03-30T06:33:43.027Z,38.0216,-118.8243,3.7,0.8,ml,7,192.18,0.054,0.1656,nn,nn00583708,2017-03-31T02:36:47.900Z,"43km NNE of Mammoth Lakes, California",earthquake,,3.3,0.1,2,reviewed,nn,nn
2017-03-30T06:33:38.400Z,38.8199997,-122.7959976,0.68,0.68,md,9,110,0.01151,0.02,nc,nc72782561,2017-03-30T09:13:02.013Z,"5km NW of The Geysers, California",earthquake,0.35,0.76,0.25,2,automatic,nc,nc
2017-03-30T06:26:08.799Z,61.6034,-147.1848,25.6,1.4,ml,,,,0.59,ak,ak15647480,2017-03-30T06:30:41.710Z,"69km NW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-03-30T06:22:17.815Z,61.6069,-148.243,17.5,1.4,ml,,,,0.55,ak,ak15647309,2017-03-30T06:28:00.349Z,"37km E of Lazy Mountain, Alaska",earthquake,,0.1,,,automatic,ak,ak
2017-03-30T06:20:12.300Z,33.6776667,-116.7463333,16.4,0.44,ml,25,66,0.04284,0.11,ci,ci37844408,2017-03-30T16:47:25.304Z,"7km SSW of Idyllwild, CA",earthquake,0.22,0.37,0.152,11,reviewed,ci,ci
2017-03-30T06:04:26.525Z,63.2151,-150.5857,125.8,1.7,ml,,,,0.58,ak,ak15647305,2017-03-30T06:17:35.791Z,"84km WSW of Cantwell, Alaska",earthquake,,1.2,,,automatic,ak,ak
2017-03-30T05:46:18.310Z,33.4936667,-116.785,4.42,0.71,ml,33,39,0.08189,0.15,ci,ci37844400,2017-03-30T13:22:42.790Z,"9km NE of Aguanga, CA",earthquake,0.2,0.47,0.143,22,reviewed,ci,ci
2017-03-30T05:41:22.800Z,19.1508,-65.8369,30,2.4,Md,4,291.6,0.86777256,0.27,pr,pr17089005,2017-03-30T08:11:32.441Z,"79km N of Loiza, Puerto Rico",earthquake,2.6,18.5,0,4,reviewed,pr,pr
2017-03-30T05:35:32.967Z,63.2688,-151.5348,0,1.4,ml,,,,0.89,ak,ak15647302,2017-03-30T05:44:00.085Z,"127km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-03-30T05:32:54.180Z,37.6493333,-118.8721667,2.45,0.31,md,14,129,0.02019,0.03,nc,nc72782556,2017-03-30T17:00:04.282Z,"8km E of Mammoth Lakes, California",earthquake,0.41,0.51,0.192,13,reviewed,nc,nc
2017-03-30T05:29:09.340Z,34.287,-116.6293333,11.18,1.09,ml,47,67,0.08022,0.13,ci,ci37844392,2017-03-30T16:41:06.657Z,"20km E of Big Bear City, CA",earthquake,0.15,0.55,0.101,23,reviewed,ci,ci
2017-03-30T05:27:45.800Z,19.1259,-65.8933,44,2.9,Md,3,324,0.84890794,0.07,pr,pr17089004,2017-03-30T08:10:47.209Z,"76km NNE of San Juan, Puerto Rico",earthquake,2,6.6,0,3,reviewed,pr,pr
